time,text,user,location,platform,tweet id,following,followers
2022-07-12T15:51:40,"RT @oesia_sec: Hackers aprovechan Follina para desplegar una puerta trasera en Windows mediante el malware Rozena
https://t.co/BL2kFxMv9A
via @unaaldia",SecMcaballero,No Data,twitter,1.5468850088619254e+18,1200.0,673.0
2022-07-12T15:30:08,#Hackers #Exploiting #Follina #Bug to Deploy #Rozena #Backdoor https://t.co/G5dczjO5Oa,miguelcarvajalm,No Data,twitter,1.5468795884536095e+18,759.0,436.0
2022-07-12T15:06:32,Vulnerabilità Follina sfruttata per distribuire la backdoor Rozena: come mitigare il rischio https://t.co/iGyX5xeL8t @Cybersec360,StudioIT_DG,No Data,twitter,1.5468736502588703e+18,80.0,18.0
2022-07-12T15:00:01,"Hackers aprovechan Follina para desplegar una puerta trasera en Windows mediante el malware Rozena
https://t.co/KMR5IRrOsq
via @unaaldia",oesia_sec,No Data,twitter,1.5468720094931927e+18,357.0,1469.0
2022-07-12T14:43:07,"Οδηγός exploitation για το Follina
https://t.co/XjayrYXkm5",iGuru_gr,No Data,twitter,1.546867756414505e+18,15.0,1349.0
2022-07-12T14:06:25,Atacantes aprovechan Follina para desplegar una puerta trasera en Windows mediante el malware Rozena https://t.co/kYg13ELDy4,DYSTEC,No Data,twitter,1.5468585200118333e+18,776.0,269.0
2022-07-12T13:21:08,Vulnerabilità #Follina sfruttata per distribuire la #backdoor #Rozena: come mitigare il rischio... https://t.co/xIQiPkPqnu @Cybersec360,Slvlombardo,No Data,twitter,1.5468471262311547e+18,526.0,1229.0
2022-07-12T12:43:59,Atacantes aprovechan Follina para desplegar una puerta trasera en Windows mediante el malware Rozena https://t.co/cmz9enT9hR,SombreroBlanc0,No Data,twitter,1.5468377781761188e+18,1014.0,3554.0
2022-07-12T11:58:16,"We did mentio. This as part of the Follina aftermath

https://t.co/RybqFr6YU9 https://t.co/ZX7SAXAmW3",FrankSEC42,No Data,twitter,1.5468262711743037e+18,1499.0,6099.0
2022-07-12T11:24:16,Hackers aprovechan Follina para desplegar una puerta trasera en Windows mediante el malware Rozena https://t.co/rwJCV9uluc,NormanOre,No Data,twitter,1.5468177174910812e+18,616.0,127.0
2022-07-12T10:27:03,Vulnerabilità Follina sfruttata per distribuire la backdoor Rozena: come mitigare il rischio https://t.co/2KOlTtxaQ3 cybersecurity https://t.co/YsBQV6OZqT,gnanoia,No Data,twitter,1.5468033143727268e+18,96.0,72.0
